ID,Name,Description,Feature_Spec
concepts,Number of concepts,Number of senses linked to Concepticon,
forms,Number of forms,,
senses,Number of senses,,
LegAndFoot,has the same word form for foot and leg,"
Computes if two concepts are expressed with the same form in a language (i.e. if they are
colexified).
","{""id"": ""LegAndFoot"", ""name"": ""has the same word form for foot and leg"", ""function"": {""class"": ""cltoolkit.features.lexicon.Colexification"", ""args"": [[""FOOT""], [""LEG""]], ""kwargs"": {""ablist"": [""FOOT OR LEG""], ""alabel"": null, ""blabel"": null}}, ""type"": ""bool"", ""note"": null, ""categories"": {""null"": ""missing data"", ""true"": ""colexifies FOOT and LEG"", ""false"": ""does not colexify FOOT and LEG""}, ""requires"": [""cltoolkit.features.reqs.concepts""]}"
ArmAndHand,arm and hand distinguished or not,"
Computes if two concepts are expressed with the same form in a language (i.e. if they are
colexified).
","{""id"": ""ArmAndHand"", ""name"": ""arm and hand distinguished or not"", ""function"": {""class"": ""cltoolkit.features.lexicon.Colexification"", ""args"": [[""ARM""], [""HAND""]], ""kwargs"": {""ablist"": [""ARM OR HAND""], ""alabel"": null, ""blabel"": null}}, ""type"": ""bool"", ""note"": ""same as: WALS 129A, APICS 112"", ""categories"": {""null"": ""missing data"", ""true"": ""colexifies ARM and HAND"", ""false"": ""does not colexify ARM and HAND""}, ""requires"": [""cltoolkit.features.reqs.concepts""]}"
BarkAndSkin,bark and skin distinguished or not,"
Computes if two concepts are expressed with the same form in a language (i.e. if they are
colexified).
","{""id"": ""BarkAndSkin"", ""name"": ""bark and skin distinguished or not"", ""function"": {""class"": ""cltoolkit.features.lexicon.Colexification"", ""args"": [[""BARK"", ""BARK OR SHELL""], [""SKIN"", ""SKIN (HUMAN)"", ""SKIN (ANIMAL)""]], ""kwargs"": {""ablist"": [""BARK OR SKIN""], ""alabel"": ""BARK"", ""blabel"": ""SKIN""}}, ""type"": ""bool"", ""note"": null, ""categories"": {""null"": ""missing data"", ""true"": ""colexifies BARK and SKIN"", ""false"": ""does not colexify BARK and SKIN""}, ""requires"": [""cltoolkit.features.reqs.concepts""]}"
FingerAndHand,finger andhand distinguished or not,"
Computes if two concepts are expressed with the same form in a language (i.e. if they are
colexified).
","{""id"": ""FingerAndHand"", ""name"": ""finger andhand distinguished or not"", ""function"": {""class"": ""cltoolkit.features.lexicon.Colexification"", ""args"": [[""FINGER"", ""FINGER OR TOE""], [""HAND"", ""ARM OR HAND""]], ""kwargs"": {""ablist"": null, ""alabel"": ""finger"", ""blabel"": ""hand""}}, ""type"": ""bool"", ""note"": ""same as: WALS 130A"", ""categories"": {""null"": ""missing data"", ""true"": ""colexifies finger and hand"", ""false"": ""does not colexify finger and hand""}, ""requires"": [""cltoolkit.features.reqs.concepts""]}"
GreenAndBlue,green and blue colexified or not,"
Computes if two concepts are expressed with the same form in a language (i.e. if they are
colexified).
","{""id"": ""GreenAndBlue"", ""name"": ""green and blue colexified or not"", ""function"": {""class"": ""cltoolkit.features.lexicon.Colexification"", ""args"": [[""GREEN"", ""GREEN OR UNRIPE"", ""LIGHT GREEN""], [""BLUE"", ""LIGHT BLUE""]], ""kwargs"": {""ablist"": [""BLUE OR GREEN""], ""alabel"": ""GREEN"", ""blabel"": ""BLUE""}}, ""type"": ""bool"", ""note"": ""similar to: APICS 116, WALS 134A"", ""categories"": {""null"": ""missing data"", ""true"": ""colexifies GREEN and BLUE"", ""false"": ""does not colexify GREEN and BLUE""}, ""requires"": [""cltoolkit.features.reqs.concepts""]}"
RedAndYellow,red and yellow colexified or not,"
Computes if two concepts are expressed with the same form in a language (i.e. if they are
colexified).
","{""id"": ""RedAndYellow"", ""name"": ""red and yellow colexified or not"", ""function"": {""class"": ""cltoolkit.features.lexicon.Colexification"", ""args"": [[""RED""], [""YELLOW"", ""BRIGHT YELLOW"", ""DARK YELLOW""]], ""kwargs"": {""ablist"": null, ""alabel"": null, ""blabel"": ""YELLOW""}}, ""type"": ""bool"", ""note"": ""similar to: WALS 135A"", ""categories"": {""null"": ""missing data"", ""true"": ""colexifies RED and YELLOW"", ""false"": ""does not colexify RED and YELLOW""}, ""requires"": [""cltoolkit.features.reqs.concepts""]}"
ToeAndFoot,toe and foot colexified or not,"
Computes if two concepts are expressed with the same form in a language (i.e. if they are
colexified).
","{""id"": ""ToeAndFoot"", ""name"": ""toe and foot colexified or not"", ""function"": {""class"": ""cltoolkit.features.lexicon.Colexification"", ""args"": [[""FOOT"", ""FOOT OR LEG""], [""TOE"", ""FINGER OR TOE""]], ""kwargs"": {""ablist"": null, ""alabel"": ""FOOT"", ""blabel"": ""TOE""}}, ""type"": ""bool"", ""note"": null, ""categories"": {""null"": ""missing data"", ""true"": ""colexifies FOOT and TOE"", ""false"": ""does not colexify FOOT and TOE""}, ""requires"": [""cltoolkit.features.reqs.concepts""]}"
