ID	Concepts	Concepticon	Dataset	Organization	Source	Zenodo	ClicsCore	LexiCore	CogCore	ProtoCore	Version
aaleykusunda	230	230	aaleykusunda	lexibank	Aaley2019	10.5281/zenodo.13149034	x	x			v2.1
abrahammonpa	306	304	abrahammonpa	lexibank	Abraham2018	10.5281/zenodo.13149071	x	x			v3.1
abvdoceanic	191	191	abvdoceanic	lexibank	Greenhill2008	10.5281/zenodo.13149095	x	x	x		v0.3
abvdphilippines	210	210	abvdphilippines	lexibank	Greenhill2008	10.5281/zenodo.13304336	x	x	x		v1.0
allenbai	499	499	allenbai	lexibank	Allen2007	10.5281/zenodo.13149106	x	x			v4.1
backstromnorthernpakistan	1233	224	backstromnorthernpakistan	lexibank	Backstrom1992	10.5281/zenodo.13149113	x	x			v1.1
baf2	347	335	baf2	lexibank	Hantgan2022	10.5281/zenodo.14001726	x	x			v1.2
bantubvd	430	415	bantubvd	lexibank	Greenhill2015a	10.5281/zenodo.13143126	x	x			v4.1
barlowlote	551	443	barlowlote	lexibank	Barlow2024	10.5281/zenodo.14591604	x	x			v1.1
barlowkilliantomoip	996		barlowkilliantomoip	lexibank	Barlow2023	10.5281/zenodo.14602173	x	x			v1.2
beidasinitic	905	738	beidasinitic	lexibank	Cihui	10.5281/zenodo.13149151	x	x			v5.1
berrywestpapuan	195	195	berrywestpapuan	lexibank	Berry1987 Kamholz2024	10.5281/zenodo.14601745	x	x			v0.1
blumpanotacana	501	501	blumpanotacana	pano-tacanan-history	Blum2024	10.5281/zenodo.13149588	x	x	x		v1.2
blustaustronesian	210	210	blustaustronesian	sequencecomparison	Greenhill2008	10.5281/zenodo.13150156	x	x	x		v1.1
bodtkhobwa	662	542	bodtkhobwa	lexibank	Bodt2022	10.5281/zenodo.13149621	x	x	x		v3.3
bowernpny	344	341	bowernpny	lexibank	Bowern2012	10.5281/zenodo.13143103	x	x	x		v4.1
bremerberta	200	183	bremerberta	lexibank	Bremer2016	10.5281/zenodo.13829541	x	x			v1.3
cals	184	184	cals	lexibank	Mennecier2016	10.5281/zenodo.13149281	x	x	x		v1.1
carvalhopurus	205	173	carvalhopurus	lexibank	Carvalho2021	10.5281/zenodo.13149291	x	x	x	x	v1.1
castrosui	592	518	castrosui	lexibank	Castro2011	10.5281/zenodo.13149296	x	x			v3.1
castroyi	540	532	castroyi	lexibank	Castro2010	10.5281/zenodo.13149313	x	x			v1.1
castrozhuang	510	490	castrozhuang	lexibank	Castro2010a	10.5281/zenodo.13149318	x	x			v1.1
chacolanguages	323	223	chacolanguages	lexibank	Brid2022	10.5281/zenodo.13684237	x	x			v0.3
chaconbaniwa	243	233	chaconbaniwa	lexibank	Chacon2019	10.5281/zenodo.13149386	x	x	x		v2.1
chenhmongmien	883	799	chenhmongmien	lexibank	Chen2012	10.5281/zenodo.13149500	x	x			v3.1
chindialectsurvey	460	451	chindialectsurvey	lexibank	Chin2019	10.5281/zenodo.13149727	x	x			v1.1
clarkkimmun	757	636	clarkkimmun	lexibank	Clark2008	10.5281/zenodo.13149728	x	x			v1.1
dhakalsouthwesttibetic	243	240	dhakalsouthwesttibetic	lexibank	Dhakal2024	10.5281/zenodo.13868534	x	x	x		v1.0
dunnielex	207	207	dunnielex	sequencecomparison	Dunn2012	10.5281/zenodo.13150141	x	x	x		v1.1
gerarditupi	244	242	gerarditupi	lexibank	Gerardi2021	10.5281/zenodo.13841415	x	x	x		v2.1
gravinachadic	717	716	gravinachadic	lexibank	Gravina2014	10.5281/zenodo.13254095	x	x	x		v1.0
grollemundbantu	100	100	grollemundbantu	lexibank	Grollemund2015	10.5281/zenodo.15076306		x	x		v1.1
halenepal	997	732	halenepal	lexibank	Hale1973	10.5281/zenodo.13143140	x	x			v4.0
hantganbangime	300	300	hantganbangime	lexibank	Hantgan2022b	10.5281/zenodo.13319171	x	x			v1.1
hattorijaponic	200	200	hattorijaponic	sequencecomparison	Hattori1973	10.5281/zenodo.13169462	x	x	x		v1.1
heathdogon	944	880	heathdogon	languageorphans	Moran2016	10.5281/zenodo.13304440	x	x			v0.3
hubercolumbian	366	347	hubercolumbian	lexibank	Huber1992	10.5281/zenodo.13254493	x	x			v4.0.2
huntergatherer	744	408	huntergatherer	lexibank	HunterGatherer	10.5281/zenodo.13832119	x	x			v2.1
idssegmented	1310	1308	idssegmented	intercontinental-dictionary-series	IDS	10.5281/zenodo.13832130	x	x			v1.2
ivanisuansu	250	250	ivanisuansu	lexibank	Ivani2019	10.5281/zenodo.13254433	x	x			v2.0
johanssonsoundsymbolic	344	284	johanssonsoundsymbolic	lexibank	Johansson2020	10.5281/zenodo.14001750	x	x			v1.3
kesslersignificance	200	200	kesslersignificance	sequencecomparison	Kessler2001	10.5281/zenodo.13235043	x	x	x		v1.1
keypano	1310	1308	keypano	idssegmented	Miller2024	10.5281/zenodo.13234493	x	x			v0.1
kochtukanoan	804	445	kochtukanoan	lexibank	Koch1914	10.5281/zenodo.13235052	x	x			v1.0
