Name	ID	Glottocode	Family	Latitude	Longitude	Hits
Dumagat, Casiguran	abvdphilippines-417	casi1235	Austronesian	16.2176	121.878	8
Kalabra	berrywestpapuan-Kalabra	kala1256	West Bird's Head	-1.43074	131.617	8
Kilokaka	tryonsolomon-kilokaka	zaza1245	Austronesian	-8.18719	159.255	8
Pukapuka	abvdoceanic-Pukapuka_152	puka1242	Austronesian	-10.91	-165.83	8
Hezhe	oskolskayatungusic-Hezhe	kile1243	Tungusic	47.585	132.48	7
Kokota	tryonsolomon-kokota	koko1269	Austronesian	-8.16481	159.191	7
Langja Buyang	idssegmented-langjabuyang	emab1235	Tai-Kadai	23.604572	106.030277	7
Maloh	blustaustronesian-maloh	emba1238	Austronesian	1.3156	112.63	7
Poro	tryonsolomon-poro	gaoo1237	Austronesian	-8.35163	159.789	7
Thai	wold-Thai	thai1261	Tai-Kadai	16.0	101.0	7
Tibetan (Written)	marrisonnaga-WrittenTibetan	clas1254	Sino-Tibetan	30.027852	91.158704	7
Tiruray	abvdphilippines-707	tiru1241	Austronesian	6.77321	124.127	7
Adang	robinsonap-adang	adan1251	Timor-Alor-Pantar	-8.18958	124.448	6
Akhvakh (Northern dialect)	idssegmented-akhvakhnortherndialect	akhv1239	Nakh-Daghestanian	42.4003	46.3037	6
Anuta	tryonsolomon-anuta	anut1237	Austronesian	-11.61	169.85	6
Berawan_Long_Terawan	blustaustronesian-berawanlongterawan	west2564	Austronesian	3.9815	114.528	6
Blablanga	tryonsolomon-blablanga	blab1237	Austronesian	-8.15058	159.419	6
Central Amis	blustaustronesian-centralamis	amis1246	Austronesian	23.0917	121.348	6
Edopi	transnewguineaorg-edopi	edop1238	Lakes Plain	-3.11078	137.387	6
German: Bernese	iecor-263	swis1247	Indo-European	46.95	7.42	6
Guiangan (Sirib)	abvdphilippines-1551	gian1241	Austronesian	6.99967	125.359	6
Hani-Qiepu	yangyi-HaniQiepu	hani1248	Sino-Tibetan	23.17492035	102.323801	6
Hill Mari	northeuralex-mrj	west2392	Uralic	56.33	46.33	6
Hiri Motu	transnewguineaorg-hiri-motu	hiri1237	Pidgin	-9.33333	147.083	6
Iban	blustaustronesian-iban	iban1264	Austronesian	2.09041	112.934	6
Indonesian	transnewguineaorg-indonesian	indo1316	Austronesian	-7.33458	109.716	6
Italian	northeuralex-ita	ital1282	Indo-European	43.05	12.65	6
Kabola (Aimoli Dialect)	transnewguineaorg-kabola-aimoli	kabo1247	Timor-Alor-Pantar	-8.17316	124.539	6
Malo (North)	abvdoceanic-MaloNorth_1048	malo1243	Austronesian	-15.6835	167.16	6
Mangareva	abvdoceanic-Mangareva_239	mang1401	Austronesian	-23.1095	-134.97	6
Maori	idssegmented-maori	maor1246	Austronesian	-38.2881	176.541	6
Motu	transnewguineaorg-motu	motu1246	Austronesian	-9.67492	147.424	6
Nepali	halenepal-Nepali	nepa1254	Indo-European	28.0	85.0	6
Ngamini	huntergatherer-182	ngam1265	Pama-Nyungan	-27.1797	138.701	6
Oriya	dunnielex-oriya	oriy1255	Indo-European	21.0	85.0	6
Polci	idssegmented-polci	polc1243	Afro-Asiatic	10.1346	9.5961	6
Rapa Nui	idssegmented-rapanui	rapa1244	Austronesian	-27.113	-109.342	6
Samasodu	tryonsolomon-samasodu	lagh1246	Austronesian	-8.00509	158.961	6
Siane	transnewguineaorg-siane	sian1257	Nuclear Trans New Guinea	-6.13188	145.247	6
Sivisa Titan	abvdoceanic-SivisaTitan_510	tita1241	Austronesian	-2.18168	146.888	6
Taa	johanssonsoundsymbolic-Taa	huaa1248	Tuu	-24.20022	20.79583	6
Tboli (Tagabili)	abvdphilippines-133	tbol1240	Austronesian	6.20377	124.538	6
Tetum	blustaustronesian-tetum	tetu1246	Austronesian	-8.58405	125.583	6
Tuamotuan	idssegmented-tuamotuan	tuam1242	Austronesian	-16.17259	-146.321755	6
Vitu	abvdoceanic-Vitu_140	mudu1242	Austronesian	-4.69751	149.489	6
Wambon	transnewguineaorg-wambon	wamb1259	Nuclear Trans New Guinea	-5.44334	140.48	6
Yawarrawarrka	bowernpny-Yawarrawarrka	yawa1258	Pama-Nyungan	-26.7334	140.871	6
Achang (Longchuan)	suntb-Achang	acha1249	Sino-Tibetan	24.466605	97.89503	5
Agutyanen	abvdphilippines-1569	agut1237	Austronesian	10.5328	119.655	5
Ambai (Yapen)	abvdoceanic-AmbaiYapen_40	amba1265	Austronesian	-1.88126	136.526	5
Apma (Suru Mwerani)	abvdoceanic-ApmaSuruMwerani_641	apma1240	Austronesian	-15.8559	168.189	5
Avava	abvdoceanic-Avava_456	katb1237	Austronesian	-16.2701	167.484	5
Baetora (Navenevene)	abvdoceanic-BaetoraNavenevene_1145	baet1237	Austronesian	-15.2574	168.159	5
Bali-Vitu	abvdoceanic-BaliVitu_1349	unea1237	Austronesian	-4.89383	149.141	5
Bantik	abvdphilippines-5	bant1286	Austronesian	1.44586	124.846	5
Bemba M.42	bantubvd-4	bemb1257	Atlantic-Congo	-10.6122	29.2993	5
Bihari	dunnielex-bihari	mait1250	Indo-European	26.3817	86.2211	5
Bikol (Rinconada)	abvdphilippines-722	irig1242	Austronesian	13.3896	123.331	5
Bilaan, Koronadal	abvdphilippines-413	koro1310	Austronesian	6.20529	125.007	5
Bola	abvdoceanic-Bola_1202	bola1250	Austronesian	-5.55792	150.095	5
Bolaang Mongondow	abvdphilippines-240	mong1342	Austronesian	0.64616	124.114	5
Buol	abvdphilippines-618	buol1237	Austronesian	0.97727	121.519	5
Cebuano	abvdphilippines-153	cebu1242	Austronesian	8.38799	124.367	5
Cuyonon	abvdphilippines-688	cuyo1237	Austronesian	10.3201	119.3	5
